Date,Close_price,Individual,Foreigner,Organ,Finance,Insurance,Investment,Bank,Other_finance,Pension_fund,Other_corporations,Other_foreiner,Private_fund
2024-08-22,"78,300","152,259","310,180","-452,139","1,982","-31,606","-194,017","-10,604",-702,"-65,076","-11,612","1,312","-152,116"
2024-08-21,"78,300","-200,013","82,341","177,643","471,628","-28,834","-95,992","-3,216","-2,172","-128,130","-57,676","-2,295","-35,641"
2024-08-20,"78,900","-783,354","924,485","-141,999","-60,849","-4,524","-125,374","10,973",1,"11,580","2,576","-1,708","26,194"
2024-08-19,"78,300","1,735,237","-1,468,641","-339,031","23,577","-31,338","-114,581","22,644","-20,242","-177,942","69,950","2,485","-41,149"
2024-08-16,"80,200","-7,324,889","6,540,655","918,078","965,864","-2,637","-49,507","6,025","-4,544","-5,242","-118,355","-15,489","8,119"
2024-08-14,"77,200","-2,154,441","2,054,899","-230,603","-410,988","47,876","-42,346","23,969","-4,702","144,904","340,099","-9,954","10,684"
2024-08-13,"76,100","-1,579,019","1,857,644","-202,595","-192,723","31,838","-105,187","5,263","-2,000","-1,791","-72,726","-3,304","62,005"
2024-08-12,"75,500","-539,380","473,898","112,759","130,116","29,699","-19,870","14,140",-344,"-80,004","-48,866","1,589","39,022"
2024-08-09,"74,700","-782,035","556,506","-21,816","-583,086","33,083","158,139","22,708","2,858","233,781","241,749","5,596","110,701"
2024-08-08,"73,400","6,991,766","-3,296,483","-3,828,398","-3,741,768","-31,407","11,801","-7,122","69,426","-35,349","114,338","18,777","-93,979"
2024-08-07,"74,700","886,745","1,071,074","-2,123,457","-1,700,340","-20,404","-467,436","2,118","10,124","-51,033","154,060","11,578","103,514"
2024-08-06,"72,500","9,026,910","-2,581,926","-7,018,788","-8,112,725","-143,918","468,297","10,898","43,481","677,146","530,703","43,101","38,033"
2024-08-05,"71,400","18,267,252","-16,584,000","-2,439,089","-3,497,851","13,191","415,157","-6,037","11,007","913,951","697,775","58,062","-288,507"
2024-08-02,"79,600","6,513,979","-3,630,476","-3,138,554","-1,939,575","-34,143","-409,702","-33,391","15,278","-433,176","231,397","23,654","-303,845"
2024-08-01,"83,100","523,713","329,840","-1,061,536","-1,416,537","-5,677","22,707","24,861","4,160","200,215","207,725",258,"108,735"
2024-07-31,"83,900","-2,565,088","1,683,299","958,338","558,842","92,864","213,435","18,576","54,253","-99,388","-65,980","-10,569","119,756"
2024-07-30,"81,000","1,639,314","-318,329","-1,379,203","-679,992","-9,189","-56,719",-776,"-1,512","-513,781","54,343","3,875","-117,234"
2024-07-29,"81,200","394,495","52,996","-554,806","-199,837","-15,321","43,970","8,549","-5,339","-182,767","108,737","-1,422","-204,061"
2024-07-26,"80,900","1,033,805","-1,793,928","719,026","1,051,515","-56,747","85,949","-10,557","12,086","-115,436","29,399","11,698","-247,784"
2024-07-25,"80,400","1,666,096","189,842","-1,877,734","-1,707,470","49,484","-18,904","-50,749","33,543","-320,036","19,079","2,717","136,398"
2024-07-24,"82,000","3,046,740","-2,625,120","-492,483","-256,951","-11,358","-53,467","3,633","-4,072","-130,140","67,591","3,272","-40,128"
2024-07-23,"83,900","-599,441","2,466,383","-1,694,295","-1,317,653","4,649","-78,272","3,864",-527,"-254,087","-182,288","9,641","-52,269"
2024-07-22,"83,000","920,570","-375,164","-242,867","603,599","-24,261","-356,445","23,619","-1,739","-386,494","-310,416","7,877","-101,146"
2024-07-19,"84,400","4,818,670","-2,940,842","-1,750,534","-340,877","-31,305","-193,421","-21,711",3,"-1,110,997","-135,828","8,534","-52,226"
2024-07-18,"86,900","-468,174","-924,810","1,853,095","2,504,140","-2,460","-61,618","-24,442","-41,056","-259,246","-457,083","-3,028","-262,223"
2024-07-17,"86,700","-375,119","409,230","-306,635","938,363","-16,001","117,985","-22,376","11,435","-1,300,422","278,620","-6,096","-35,619"
2024-07-16,"87,700","-2,666,412","2,036,914","645,166","596,370","-13,215","163,328","31,440","5,363","-196,288","-11,312","-4,356","58,168"
2024-07-15,"86,700","-3,256,286","-720,308","4,178,194","4,720,661","-9,043","-221,978","17,823",22,"-299,333","-199,698","-1,902","-29,958"
2024-07-12,"84,400","3,422,748","-3,640,216","154,761","1,165,380","-194,710","-474,192","-12,964","-37,830","-162,332","50,648","12,059","-128,591"
2024-07-11,"87,600","-1,142,679","2,337,048","-1,171,760","-730,671","-75,643","-313,717","2,333","-15,344","-32,497","-30,298","7,689","-6,221"
2024-07-10,"87,800","-1,964,870","3,475,799","-1,447,489","-621,437","-138,643","-374,385","8,442","-1,537","-291,958","-56,221","-7,219","-27,971"
2024-07-09,"87,800","-4,061,206","3,775,043","-3,751","321,337","-97,758","-44,035",-20,"-3,275","-40,065","288,443","1,471","-139,935"
2024-07-08,"87,400","-2,766,941","3,910,224","-1,128,290","-1,042,592","-111,235","-73,210","-7,033","-10,546","88,616","-19,995","5,002","27,710"
2024-07-05,"87,100","-20,029,986","13,730,052","6,809,451","5,607,430","220,870","293,866","-138,121","-59,524","689,740","-463,647","-45,870","195,190"
2024-07-04,"84,600","-14,641,813","7,941,412","6,993,695","4,247,269","140,319","246,414","-6,164","-6,468","2,057,897","-260,560","-32,734","314,428"
2024-07-03,"81,800","-346,008","-44,152","366,480","513,805","-41,594","-78,474",659,"5,149","-103,099","24,877","-1,197","70,034"
2024-07-02,"81,800","-1,004,292","2,179,019","-1,172,626","-915,906","-55,907","-10,832","2,355","6,230","-71,420","-19,810","17,709","-127,146"
2024-07-01,"81,800","-1,437,968","1,026,322","442,996","356,769","-5,868","-58,273",-215,"-2,420","314,131","-31,210",-140,"-161,128"
2024-06-28,"81,500","683,501","-965,053","201,888","506,357","4,633","-87,103","13,360",-297,"-254,916","76,486","3,178","19,854"
2024-06-27,"81,600","-1,362,688","4,855,358","-3,472,885","-2,906,658","-89,411","-89,640",244,777,"-142,580","-32,513","12,728","-245,617"
2024-06-26,"81,300","-539,621","1,306,886","-793,488","-504,229","-34,000","19,945","13,642","14,487","-103,648","36,222","-9,999","-199,685"
2024-06-25,"80,800","-2,188,931","2,826,498","-476,258","-100,009","9,638","-32,358",-16,"-3,315","-289,933","-145,811","-15,498","-60,265"
2024-06-24,"80,600","-729,677","272,035","281,038","806,749","-221,182","-44,218",-583,"-11,796","-230,785","185,941","-9,337","-17,147"
2024-06-21,"80,000","2,172,057","-1,551,706","-392,128","89,077","-17,185","-96,863","-4,327","-33,620","-132,203","-229,795","1,572","-197,007"
2024-06-20,"81,600","-5,181,629","4,035,075","1,958,303","1,686,950","39,779","-126,239","6,558","-1,024","301,129","-779,396","-32,353","51,150"
2024-06-19,"81,200","-6,173,053","2,984,670","3,843,571","4,206,849","-52,709","-91,996","6,088","-54,884","-127,377","-632,404","-22,784","-42,400"
2024-06-18,"79,800","-5,428,304","5,599,290","401,243","685,594","-71,048","-92,041","33,823","-33,686","-167,185","-569,925","-2,304","45,786"
2024-06-17,"78,100","1,441,874","-540,863","-947,913","1,067,228","-49,495","-60,739","-4,498","-1,147","-1,687,759","49,230","-2,328","-211,503"
2024-06-14,"79,600","-5,478,743","6,641,964","-1,159,458","-1,481,969","-68,277","387,255","2,437",-954,"18,029","14,076","-17,839","-15,979"
2024-06-13,"78,600","-11,576,665","12,050,709","-350,325","-886,485","-96,155","-35,230","-22,109","-1,603","455,412","-79,637","-44,082","235,845"
2024-06-12,"76,500","412,191","-431,060","-75,724","411,551","12,315","-64,840",-60,"-5,465","-588,904","90,883","3,710","159,679"
2024-06-11,"75,200","3,056,482","-2,386,907","-732,641","-475,749","-66,767","6,739","-1,839","-1,180","-182,301","71,397","-8,331","-11,544"
2024-06-10,"75,700","4,101,492","-1,917,482","-2,315,098","-1,392,271","-27,501","-194,755","2,202","1,666","-240,447","106,941","24,147","-463,992"
2024-06-07,"77,300","1,082,616","-2,421,499","1,239,125","1,199,380","29,292","78,423","-5,192","13,069","-141,710","78,303","21,455","65,863"
2024-06-05,"77,400","-2,385,281","5,150,004","-2,880,380","-2,899,169","37,564","28,769",650,"-1,507","-69,754","117,197","-1,540","23,067"
2024-06-04,"75,300","667,903","-370,961","-357,735","-659,650","51,712","-38,641","-5,441","22,104","294,278","60,798",-5,"-22,097"
